location_id,geometry
0,POINT (10.402058310207352 46.565046732051044)
1,POINT (10.354408195031294 46.56940356552473)
2,POINT (10.340628421133202 46.53172414310601)
3,POINT (10.293062307640177 46.53604727675538)
4,POINT (10.259178196276755 46.578049449780806)
5,POINT (10.306781459162822 46.57373779534751)
6,POINT (10.320529929828208 46.6114547350503)
7,POINT (10.272865917933931 46.615777459765404)
8,POINT (10.286582927034202 46.65353189456256)
9,POINT (10.334307806931864 46.649198070058524)
10,POINT (10.382056143428844 46.644841559119115)
11,POINT (10.368217406597728 46.60710937949036)
12,POINT (10.415928254223743 46.6027413647904)
13,POINT (10.42982784216102 46.64046233341548)
14,POINT (10.477622808569619 46.63606036473355)
15,POINT (10.511419684999595 46.59393724536154)
16,POINT (10.463662378493227 46.59835066276952)
17,POINT (10.449731710822249 46.56066726677879)
18,POINT (10.43583071736228 46.52301020280315)
19,POINT (10.497428302814058 46.55626514167447)
20,POINT (10.451695795865906 46.83389702223688)
21,POINT (10.465713542598696 46.87178684104006)
22,POINT (10.493839569973607 46.94764498767903)
23,POINT (10.479761437198354 46.90970283868712)
24,POINT (10.431583730020748 46.914138273912485)
25,POINT (10.445600041524624 46.952091818276585)
26,POINT (10.397383897248453 46.95651551281304)
27,POINT (10.38342941668525 46.91855062975917)
28,POINT (10.369504931591239 46.88061195846983)
29,POINT (10.417597535428492 46.87621091117181)
30,POINT (10.403641367746872 46.83830975747331)
31,POINT (10.355610352274411 46.842699526283745)
32,POINT (10.341745589385539 46.804813360336475)
33,POINT (10.327910553916599 46.76695348756088)
34,POINT (10.375818754828325 46.76258618586127)
35,POINT (10.38971513731856 46.800434840032324)
36,POINT (10.437708107035803 46.79603340957298)
37,POINT (10.423750386487153 46.75819603014064)
38,POINT (10.409822544940104 46.720384910829495)
39,POINT (10.3959244934546 46.68260007832705)
40,POINT (10.348115178102077 46.68696777436703)
41,POINT (10.361952131301429 46.724763821770146)
42,POINT (10.314105157199197 46.729119934687624)
43,POINT (10.300329310903006 46.69131272824561)
44,POINT (10.25256698637259 46.69563496844011)
45,POINT (10.266281717496556 46.73345327809325)
46,POINT (10.218481906859795 46.73776388061328)
47,POINT (10.204828298829563 46.699934523542176)
48,POINT (10.157113342395423 46.704211422257316)
49,POINT (10.109422210993735 46.70846569340437)
50,POINT (10.122953550460345 46.74631697807294)
51,POINT (10.170705819757604 46.74205177098833)
52,POINT (10.184327486802696 46.77991855456306)
53,POINT (10.136513959028921 46.784194726783284)
54,POINT (10.150103523796004 46.82209891332011)
55,POINT (10.197978430937464 46.81781174668824)
56,POINT (10.245877140928322 46.81350178491158)
57,POINT (10.232164824987446 46.775619643193586)
58,POINT (10.28002587896453 46.771297963784754)
59,POINT (10.293799558800178 46.809168999064525)
60,POINT (10.307602845364343 46.84706635728098)
61,POINT (10.25961894273452 46.85141027919443)
62,POINT (10.273390318795984 46.889345099267544)
63,POINT (10.32143582735662 46.88499001158055)
64,POINT (10.335298593816912 46.92293993490715)
65,POINT (10.349191234127023 46.960916100001754)
66,POINT (10.301022148943188 46.965293608674344)
67,POINT (10.287191357842087 46.92730621815406)
68,POINT (10.239107804987645 46.93164950841473)
69,POINT (10.22536850178158 46.893677250411)
70,POINT (10.211658739904058 46.85573132086952)
71,POINT (10.163722332192611 46.86002951126727)
72,POINT (10.115809814719602 46.864304879463695)
73,POINT (10.0679212824035 46.86855745464936)
74,POINT (9.98561813139985 46.91499497688067)
75,POINT (10.03352005962053 46.910777071206276)
76,POINT (10.020056829961067 46.87278726612884)
77,POINT (9.972216551906646 46.8769943433202)
78,POINT (9.958843816082537 46.83902021090798)
79,POINT (9.945499837420456 46.80107260595089)
80,POINT (9.993217181363773 46.79688709915553)
81,POINT (10.006622566150089 46.83482393331723)
82,POINT (10.054425496934972 46.83060497742382)
83,POINT (10.102252514272507 46.82636331384729)
84,POINT (10.088724336085315 46.78844818885831)
85,POINT (10.040958712190895 46.792678969905594)
86,POINT (10.02752084136605 46.754779458355365)
87,POINT (10.07522519303932 46.75055953083503)
88,POINT (10.061754998349382 46.71269736591504)
89,POINT (10.014111797987871 46.71690646883334)
90,POINT (9.966492703234604 46.72109303131516)
91,POINT (9.97984058911156 46.75897678982712)
92,POINT (9.93218452974566 46.76315155455532)
93,POINT (9.91889780721418 46.72525708262761)
94,POINT (9.905639584311283 46.687389215874575)
95,POINT (9.953173437904233 46.683235849403)
96,POINT (9.939882707620418 46.6454052696748)
97,POINT (9.892409775849949 46.64954797980398)
98,POINT (9.879208296969344 46.61173339972499)
99,POINT (9.866035063133316 46.573945500748685)
100,POINT (9.913386511826445 46.569824018113245)
101,POINT (9.926620427210256 46.607601317515865)
102,POINT (9.974056772764975 46.60344689004235)
103,POINT (9.960762181046867 46.56568024524346)
104,POINT (10.008161979036196 46.56151415302437)
105,POINT (10.021517241535744 46.599270088151286)
106,POINT (10.034901108555738 46.63705261893503)
107,POINT (9.987379849335209 46.641240159115554)
108,POINT (10.00073149591489 46.67906002719982)
109,POINT (10.048313665562397 46.67486172003579)
110,POINT (10.095919853865498 46.67064089879246)
111,POINT (10.082446392643437 46.63284262005223)
112,POINT (10.13001560876044 46.62861013349693)
113,POINT (10.143549967643242 46.66639753446266)
114,POINT (10.191203913515684 46.66213159815099)
115,POINT (10.238881597904598 46.65784306107439)
116,POINT (10.225225464738626 46.6200775820446)
117,POINT (10.177608663870288 46.62435513041012)
118,POINT (10.103033593292839 46.553114894624734)
119,POINT (10.116510179337173 46.590849245053015)
120,POINT (10.06900174122522 46.59507088279924)
121,POINT (10.05558581383687 46.55732571245016)
122,POINT (10.042198525031234 46.51960713422317)
123,POINT (10.02883978968649 46.48191517313853)
124,POINT (10.07616660865569 46.4777259087973)
125,POINT (10.110066427126146 46.435870551462486)
126,POINT (10.157380594243541 46.43164750965669)
127,POINT (10.14389817697268 46.39404113649275)
128,POINT (10.09664418195301 46.3982533638447)
129,POINT (10.049413972731664 46.40244337600046)
130,POINT (10.062776039534292 46.44007132339437)
131,POINT (10.01550952300465 46.444249854018985)
132,POINT (10.00220764051006 46.40661120149033)
133,POINT (9.955025276294082 46.41075686895313)
134,POINT (9.907866970893409 46.41488040713576)
135,POINT (9.921048468298341 46.45254030615794)
136,POINT (9.968266968877955 46.44840617201208)
137,POINT (9.9815369273617 46.486082170109576)
138,POINT (9.994835235916803 46.52378483869586)
139,POINT (9.94749598934858 46.527940249784145)
140,POINT (9.934258113161325 46.490226928532095)
141,POINT (9.887003438367687 46.49434947733639)
142,POINT (9.900180876945788 46.532073396456134)
143,POINT (9.852889990128887 46.53618430778854)
144,POINT (9.839772994064752 46.49844984556087)
145,POINT (9.826683991369803 46.46074213858537)
146,POINT (9.873854112212655 46.45665228534904)
147,POINT (9.86073281492084 46.41898184489272)
148,POINT (9.81362289879164 46.423061211185555)
149,POINT (9.800589633395102 46.38540708748927)
150,POINT (9.787584112560808 46.347779791429154)
151,POINT (9.834573974276742 46.343721315188795)
152,POINT (9.847639463250538 46.38133818017019)
153,POINT (9.894713537399369 46.377247255743505)
154,POINT (9.941811765758553 46.37313428528621)
155,POINT (10.02995930516095 46.21056741864788)
156,POINT (10.07691419645742 46.20640883349149)
157,POINT (10.09025419263678 46.24388193848928)
158,POINT (10.103622504840315 46.281381745260745)
159,POINT (10.056548322215692 46.28556170158544)
160,POINT (10.043239713838481 46.24805119499547)
161,POINT (10.009497943266638 46.2897196059459)
162,POINT (10.02277500857513 46.32726749306495)
163,POINT (9.975688691782828 46.331413993726734)
164,POINT (9.98893405804792 46.368999239981825)
165,POINT (10.03608032379084 46.36484209112095)
166,POINT (10.083250472314859 46.36066281010171)
